target_velocities,holding_time,rpm
1327500,1,132.75
1331250,1,133.125
1335000,1,133.5
1338750,1,133.875
1342500,1,134.25
1346250,1,134.625
1350000,1,135
1353750,1,135.375
1357500,1,135.75
1361250,1,136.125
1365000,1,136.5
1368750,1,136.875
1372500,1,137.25
1376250,1,137.625
1380000,1,138
1383750,1,138.375
1387500,1,138.75
1391250,1,139.125
1395000,1,139.5
1398750,1,139.875
1402500,1,140.25
1406250,1,140.625
1410000,1,141
1413750,1,141.375
1417500,1,141.75
1421250,1,142.125
1425000,1,142.5
1428750,1,142.875
1432500,1,143.25
1436250,1,143.625
1440000,1,144
1443750,1,144.375
1447500,1,144.75
1451250,1,145.125
1455000,1,145.5
1458750,1,145.875
1462500,1,146.25
1466250,1,146.625
1470000,1,147
1473750,1,147.375
1477500,1,147.75
1481250,1,148.125
1485000,1,148.5
1488750,1,148.875
1492500,1,149.25
1496250,1,149.625
1500000,1,150
1503750,1,150.375
1507500,1,150.75
1511250,1,151.125
1515000,1,151.5
1518750,1,151.875
1522500,1,152.25
1526250,1,152.625
1530000,1,153
1533750,1,153.375
1537500,1,153.75
1541250,1,154.125
1545000,1,154.5
1548750,1,154.875
1552500,1,155.25
1556250,1,155.625
1560000,1,156
1563750,1,156.375
1567500,1,156.75
1571250,1,157.125
1575000,1,157.5
1578750,1,157.875
1582500,1,158.25
1586250,1,158.625
1590000,1,159
1593750,1,159.375
1597500,1,159.75
1601250,1,160.125
1605000,1,160.5
1608750,1,160.875
1612500,1,161.25
1616250,1,161.625
1620000,1,162
1623750,1,162.375
1627500,1,162.75
1631250,1,163.125
1635000,1,163.5
1638750,1,163.875
1642500,1,164.25
1646250,1,164.625
1650000,1,165
1653750,1,165.375
1657500,1,165.75
1661250,1,166.125
1665000,1,166.5
1668750,1,166.875
1672500,1,167.25
1676250,1,167.625
1680000,1,168
1683750,1,168.375
1687500,1,168.75
1691250,1,169.125
1695000,1,169.5
1698750,1,169.875
1702500,1,170.25
1706250,1,170.625
1710000,1,171
1713750,1,171.375
1717500,1,171.75
1721250,1,172.125
1725000,1,172.5
1728750,1,172.875
1732500,1,173.25
1736250,1,173.625
1740000,1,174
1743750,1,174.375
1747500,1,174.75
1751250,1,175.125
1755000,1,175.5
1758750,1,175.875
1762500,1,176.25
1766250,1,176.625
1770000,1,177
1773750,1,177.375
1777500,1,177.75
1781250,1,178.125
1785000,1,178.5
1788750,1,178.875
1792500,1,179.25
1796250,1,179.625
1800000,1,180
1803750,1,180.375
1807500,1,180.75
1811250,1,181.125
1815000,1,181.5
1818750,1,181.875
1822500,1,182.25
1826250,1,182.625
1830000,1,183
1833750,1,183.375
1837500,1,183.75
1841250,1,184.125
1845000,1,184.5
1848750,1,184.875
1852500,1,185.25
1856250,1,185.625
1860000,1,186
1863750,1,186.375
1867500,1,186.75
1871250,1,187.125
1875000,1,187.5
1878750,1,187.875
1882500,1,188.25
1886250,1,188.625
1890000,1,189
1893750,1,189.375
1897500,1,189.75
1901250,1,190.125
1905000,1,190.5
1908750,1,190.875
1912500,1,191.25
1916250,1,191.625
1920000,1,192
1923750,1,192.375
1927500,1,192.75
1931250,1,193.125
1935000,1,193.5
1938750,1,193.875
1942500,1,194.25
1946250,1,194.625
1950000,1,195
1953750,1,195.375
1957500,1,195.75
1961250,1,196.125
1965000,1,196.5
1968750,1,196.875
1972500,1,197.25
1976250,1,197.625
1980000,1,198
1983750,1,198.375
1987500,1,198.75
1991250,1,199.125
1995000,1,199.5
1998750,1,199.875
2002500,1,200.25
2006250,1,200.625
2010000,1,201
2013750,1,201.375
2017500,1,201.75
2021250,1,202.125
2025000,1,202.5
2028750,1,202.875
2032500,1,203.25
2036250,1,203.625
2040000,1,204
2043750,1,204.375
2047500,1,204.75
2051250,1,205.125
2055000,1,205.5
2058750,1,205.875
2062500,1,206.25
2066250,1,206.625
2070000,1,207
2073750,1,207.375
2077500,1,207.75
2081250,1,208.125
2085000,1,208.5
2088750,1,208.875
2092500,1,209.25
2096250,1,209.625
2100000,1,210
2103750,1,210.375
2107500,1,210.75
2111250,1,211.125
2115000,1,211.5
2118750,1,211.875
2122500,1,212.25
2126250,1,212.625
2130000,1,213
2133750,1,213.375
2137500,1,213.75
2141250,1,214.125
2145000,1,214.5
2148750,1,214.875
2152500,1,215.25
2156250,1,215.625
2160000,1,216
2163750,1,216.375
2167500,1,216.75
2171250,1,217.125
2175000,1,217.5
2178750,1,217.875
2182500,1,218.25
2186250,1,218.625
2190000,1,219
2193750,1,219.375
2197500,1,219.75
2201250,1,220.125
2205000,1,220.5
2208750,1,220.875
2212500,1,221.25
2216250,1,221.625
2220000,1,222
2223750,1,222.375
2227500,1,222.75
2231250,1,223.125
2235000,1,223.5
2238750,1,223.875
2242500,1,224.25
2246250,1,224.625
2250000,1,225
2253750,1,225.375
2257500,1,225.75
2261250,1,226.125
2265000,1,226.5
2268750,1,226.875
2272500,1,227.25
2276250,1,227.625
2280000,1,228
2283750,1,228.375
2287500,1,228.75
2291250,1,229.125
2295000,1,229.5
2298750,1,229.875
2302500,1,230.25
2306250,1,230.625
2310000,1,231
2313750,1,231.375
2317500,1,231.75
2321250,1,232.125
2325000,1,232.5
2328750,1,232.875
2332500,1,233.25
2336250,1,233.625
2340000,1,234
2343750,1,234.375
2347500,1,234.75
2351250,1,235.125
2355000,1,235.5
2358750,1,235.875
2362500,1,236.25
2366250,1,236.625
2370000,1,237
2373750,1,237.375
2377500,1,237.75
2381250,1,238.125
